Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,F:System.Drawing.GraphicsUnit.Point,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.FontStyle,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.FontStyle,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,F:System.Drawing.FontStyle.Regular,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.Font,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.GraphicsUnit,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.GraphicsUnit,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,F:System.Drawing.GraphicsUnit.Point,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\MixEmul\MixEmul.csproj,File,src\MixEmul\Settings\GuiSettings.cs,72,3,T:System.Drawing.FontStyle,,,,,"defaultFonts = new Dictionary<string, Font>  			{  				{ FixedWidth, new Font(""Courier New"", 9f, FontStyle.Regular, GraphicsUnit.Point, 0) }  			};"
